position,entry_time,exit_time,duration,color
"(924, 509)",1718177018.93,1718177314.04,295.11,Blue
"(832, 511)",1718177310.06,1718177314.04,3.98,Black
"(948, 141)",1718177243.67,1718177314.3,70.63,Red
"(831, 388)",1718177170.19,1718177314.3,144.11,Gray
"(1041, 271)",1718177168.32,1718177314.63,146.31,Green
"(829, 143)",1718177019.18,1718177314.63,295.45,Red
"(582, 389)",1718177018.93,1718177314.63,295.7,Red
"(859, 511)",1718177312.46,1718177315.18,2.71,Black
"(674, 264)",1718177289.71,1718177315.71,26.0,White
"(459, 493)",1718177299.94,1718177315.99,16.04,Blue
"(384, 586)",1718177300.21,1718177315.99,15.78,Blue
"(1040, 165)",1718177312.73,1718177316.27,3.54,White
"(765, 143)",1718177018.71,1718177316.27,297.56,Red
"(923, 430)",1718177305.2,1718177316.56,11.36,Gray
"(766, 264)",1718177313.78,1718177317.08,3.3,Red
"(581, 342)",1718177243.94,1718177317.08,73.14,Red
"(738, 187)",1718177313.25,1718177317.61,4.36,Red
"(100, 513)",1718177315.18,1718177317.61,2.43,Blue
"(1041, 302)",1718177315.44,1718177317.87,2.44,Green
"(647, 341)",1718177315.18,1718177317.87,2.7,Black
"(949, 307)",1718177312.73,1718177318.14,5.41,Red
"(674, 233)",1718177266.63,1718177318.14,51.5,White
"(581, 499)",1718177313.25,1718177318.14,4.89,Gray
"(949, 186)",1718177313.78,1718177319.71,5.94,Red
"(294, 433)",1718177312.73,1718177319.98,7.25,Gray
"(766, 465)",1718177298.05,1718177320.5,22.46,Red
"(766, 526)",1718177318.14,1718177323.11,4.97,Red
"(1107, 150)",1718177322.58,1718177324.94,2.36,Red
"(1110, 362)",1718177018.71,1718177325.2,306.49,Red
"(830, 295)",1718177274.57,1718177325.76,51.19,Blue
"(582, 389)",1718177319.46,1718177325.76,6.3,Red
"(766, 526)",1718177323.37,1718177326.27,2.9,Red
"(580, 296)",1718177018.71,1718177327.07,308.35,Green
"(100, 513)",1718177323.11,1718177327.07,3.96,Black
"(1012, 195)",1718177291.84,1718177327.59,35.75,Gray
"(674, 233)",1718177318.67,1718177328.38,9.7,Yellow
"(859, 542)",1718177298.59,1718177330.72,32.13,Green
"(766, 526)",1718177327.33,1718177330.72,3.39,Red
"(647, 341)",1718177320.5,1718177330.72,10.22,White
"(294, 433)",1718177320.24,1718177330.72,10.48,Gray
"(831, 388)",1718177318.4,1718177331.26,12.86,Blue
"(949, 307)",1718177318.94,1718177331.53,12.59,Red
"(460, 399)",1718177327.59,1718177331.83,4.24,Red
"(645, 434)",1718177018.71,1718177332.58,313.86,Red
"(1107, 150)",1718177325.76,1718177334.03,8.27,Red
"(831, 388)",1718177332.58,1718177335.44,2.86,Black
"(580, 296)",1718177331.0,1718177335.44,4.44,Green
"(100, 513)",1718177332.33,1718177335.44,3.11,Black
"(1014, 332)",1718177018.71,1718177335.98,317.27,Blue
"(950, 324)",1718177018.71,1718177339.1,320.39,Blue
"(831, 388)",1718177335.7,1718177339.61,3.91,Blue
"(1107, 150)",1718177334.91,1718177340.4,5.48,Red
"(647, 341)",1718177336.5,1718177340.67,4.16,Black
"(766, 465)",1718177339.86,1718177342.86,3.0,Red
"(1045, 625)",1718177018.71,1718177343.64,324.93,Blue
"(100, 513)",1718177339.37,1718177346.53,7.17,Black
"(460, 399)",1718177343.38,1718177346.8,3.42,Red
"(487, 414)",1718177340.93,1718177350.26,9.32,Red
"(1107, 150)",1718177341.5,1718177352.37,10.87,Red
"(921, 140)",1718177317.08,1718177353.65,36.57,Red
"(460, 399)",1718177350.52,1718177353.91,3.39,Red
"(766, 526)",1718177346.53,1718177354.44,7.9,Red
"(580, 296)",1718177346.26,1718177354.44,8.18,Red
"(1018, 547)",1718177018.6,1718177355.46,336.85,Green
"(581, 342)",1718177317.35,1718177357.07,39.72,Red
"(294, 433)",1718177355.2,1718177357.33,2.13,Blue
"(674, 264)",1718177319.71,1718177357.59,37.88,White
"(950, 111)",1718177168.59,1718177357.84,189.25,Red
"(739, 341)",1718177018.71,1718177359.22,340.5,Red
"(674, 511)",1718177018.6,1718177359.22,340.61,Green
